dataset.num,Confounding Strength,Confounding Source,Impact Heterogeneity,Idiosyncrasy of Impacts,variable,level,year,id.practice,SATT
0001,Strong,Scenario A,Large,Large,Overall,NA,NA,NA,-2.295728887267943
0001,Strong,Scenario A,Large,Large,X1,0,NA,NA,-3.512930739648928
0001,Strong,Scenario A,Large,Large,X1,1,NA,NA,-1.3446387795028942
0001,Strong,Scenario A,Large,Large,X2,A,NA,NA,2.500634177919604
0001,Strong,Scenario A,Large,Large,X2,B,NA,NA,-10.576560824741652
0001,Strong,Scenario A,Large,Large,X2,C,NA,NA,2.01976615130997
0001,Strong,Scenario A,Large,Large,X3,0,NA,NA,15.235514846539322
0001,Strong,Scenario A,Large,Large,X3,1,NA,NA,-18.02542123817516
0001,Strong,Scenario A,Large,Large,X4,A,NA,NA,1.6331874657230026
0001,Strong,Scenario A,Large,Large,X4,B,NA,NA,-18.595419872141044
0001,Strong,Scenario A,Large,Large,X4,C,NA,NA,-4.445112620126858
0001,Strong,Scenario A,Large,Large,X5,0,NA,NA,-9.814740246367409
0001,Strong,Scenario A,Large,Large,X5,1,NA,NA,5.56438418435977
0001,Strong,Scenario A,Large,Large,Yearly,NA,3,NA,-7.0560051044795635
0001,Strong,Scenario A,Large,Large,Yearly,NA,4,NA,2.470923280776753
0001,Strong,Scenario A,Large,Large,NA,NA,NA,1,52.04915078150606
0001,Strong,Scenario A,Large,Large,NA,NA,NA,2,36.88871536250944
0001,Strong,Scenario A,Large,Large,NA,NA,NA,9,12.474683329546833
0001,Strong,Scenario A,Large,Large,NA,NA,NA,12,91.41405567700782
0001,Strong,Scenario A,Large,Large,NA,NA,NA,14,-4.439384102508607
0001,Strong,Scenario A,Large,Large,NA,NA,NA,15,101.13281720308147
0001,Strong,Scenario A,Large,Large,NA,NA,NA,16,68.8154487574408
0001,Strong,Scenario A,Large,Large,NA,NA,NA,17,-37.33048850161514
0001,Strong,Scenario A,Large,Large,NA,NA,NA,22,-20.806179503085215
0001,Strong,Scenario A,Large,Large,NA,NA,NA,24,15.799916572020866
0001,Strong,Scenario A,Large,Large,NA,NA,NA,27,-12.88932425974259
0001,Strong,Scenario A,Large,Large,NA,NA,NA,28,35.074864512567935
0001,Strong,Scenario A,Large,Large,NA,NA,NA,29,90.5465972224169
0001,Strong,Scenario A,Large,Large,NA,NA,NA,32,-59.74770062589453
0001,Strong,Scenario A,Large,Large,NA,NA,NA,34,-10.528750602243012
0001,Strong,Scenario A,Large,Large,NA,NA,NA,35,12.645508920963275
0001,Strong,Scenario A,Large,Large,NA,NA,NA,36,59.94405952848634
0001,Strong,Scenario A,Large,Large,NA,NA,NA,38,-36.521900592479625
0001,Strong,Scenario A,Large,Large,NA,NA,NA,39,38.729961207362614
0001,Strong,Scenario A,Large,Large,NA,NA,NA,42,39.89215591085186
0001,Strong,Scenario A,Large,Large,NA,NA,NA,44,-52.089002832975176
0001,Strong,Scenario A,Large,Large,NA,NA,NA,47,-38.232171814735736
0001,Strong,Scenario A,Large,Large,NA,NA,NA,48,23.013263943077085
0001,Strong,Scenario A,Large,Large,NA,NA,NA,49,-46.33199154606092
0001,Strong,Scenario A,Large,Large,NA,NA,NA,52,12.98439624421822
0001,Strong,Scenario A,Large,Large,NA,NA,NA,53,-92.33557799905104
0001,Strong,Scenario A,Large,Large,NA,NA,NA,59,-8.722045328659323
0001,Strong,Scenario A,Large,Large,NA,NA,NA,60,-31.83475425152149
0001,Strong,Scenario A,Large,Large,NA,NA,NA,65,-31.52677631784158
0001,Strong,Scenario A,Large,Large,NA,NA,NA,66,-9.343586710582747
0001,Strong,Scenario A,Large,Large,NA,NA,NA,67,-85.67600421638888
0001,Strong,Scenario A,Large,Large,NA,NA,NA,71,-23.42852314342944
0001,Strong,Scenario A,Large,Large,NA,NA,NA,72,-28.30997805725683
0001,Strong,Scenario A,Large,Large,NA,NA,NA,73,-10.308214819509637
0001,Strong,Scenario A,Large,Large,NA,NA,NA,75,6.596387908368326
0001,Strong,Scenario A,Large,Large,NA,NA,NA,78,11.079439249627823
0001,Strong,Scenario A,Large,Large,NA,NA,NA,80,-59.50396578865407
0001,Strong,Scenario A,Large,Large,NA,NA,NA,81,22.237328865175503
0001,Strong,Scenario A,Large,Large,NA,NA,NA,83,-25.95951174865654
0001,Strong,Scenario A,Large,Large,NA,NA,NA,85,44.75421928041412
0001,Strong,Scenario A,Large,Large,NA,NA,NA,87,93.32917605200949
0001,Strong,Scenario A,Large,Large,NA,NA,NA,88,20.401392499545505
0001,Strong,Scenario A,Large,Large,NA,NA,NA,89,-9.64626739144126
0001,Strong,Scenario A,Large,Large,NA,NA,NA,90,-2.521243942024768
0001,Strong,Scenario A,Large,Large,NA,NA,NA,91,-5.413018709553139
0001,Strong,Scenario A,Large,Large,NA,NA,NA,92,66.62563011904615
0001,Strong,Scenario A,Large,Large,NA,NA,NA,95,-37.64969224826007
0001,Strong,Scenario A,Large,Large,NA,NA,NA,96,8.414696878133174
0001,Strong,Scenario A,Large,Large,NA,NA,NA,98,93.59403999707365
0001,Strong,Scenario A,Large,Large,NA,NA,NA,99,37.79116003445159
0001,Strong,Scenario A,Large,Large,NA,NA,NA,106,-20.66913381824268
0001,Strong,Scenario A,Large,Large,NA,NA,NA,109,5.468530256489886
0001,Strong,Scenario A,Large,Large,NA,NA,NA,110,-47.03655814094871
0001,Strong,Scenario A,Large,Large,NA,NA,NA,113,-3.9075007480524118
0001,Strong,Scenario A,Large,Large,NA,NA,NA,115,11.76161095774772
0001,Strong,Scenario A,Large,Large,NA,NA,NA,117,-32.18714252426925
0001,Strong,Scenario A,Large,Large,NA,NA,NA,119,34.46631334056117
0001,Strong,Scenario A,Large,Large,NA,NA,NA,120,20.559572282971594
0001,Strong,Scenario A,Large,Large,NA,NA,NA,122,5.061698123854807
0001,Strong,Scenario A,Large,Large,NA,NA,NA,125,-22.750986924100854
0001,Strong,Scenario A,Large,Large,NA,NA,NA,128,55.34282511514346
0001,Strong,Scenario A,Large,Large,NA,NA,NA,133,-36.630096883514085
0001,Strong,Scenario A,Large,Large,NA,NA,NA,136,72.69723975522021
0001,Strong,Scenario A,Large,Large,NA,NA,NA,138,-41.44223518396361
0001,Strong,Scenario A,Large,Large,NA,NA,NA,139,-85.4147915108595
0001,Strong,Scenario A,Large,Large,NA,NA,NA,144,8.517649198957056
0001,Strong,Scenario A,Large,Large,NA,NA,NA,145,-53.181197563670075
0001,Strong,Scenario A,Large,Large,NA,NA,NA,148,8.63751919953727
0001,Strong,Scenario A,Large,Large,NA,NA,NA,151,5.161306686801353
0001,Strong,Scenario A,Large,Large,NA,NA,NA,152,-18.42689190512518
0001,Strong,Scenario A,Large,Large,NA,NA,NA,154,-16.329600357526843
0001,Strong,Scenario A,Large,Large,NA,NA,NA,155,-8.334116248927023
0001,Strong,Scenario A,Large,Large,NA,NA,NA,156,58.969745093629626
0001,Strong,Scenario A,Large,Large,NA,NA,NA,160,3.3293674265604207
0001,Strong,Scenario A,Large,Large,NA,NA,NA,161,75.03178812829309
0001,Strong,Scenario A,Large,Large,NA,NA,NA,162,-11.103811366377073
0001,Strong,Scenario A,Large,Large,NA,NA,NA,165,73.48245054044727
0001,Strong,Scenario A,Large,Large,NA,NA,NA,166,-34.019130920371815
0001,Strong,Scenario A,Large,Large,NA,NA,NA,167,-38.55325498448838
0001,Strong,Scenario A,Large,Large,NA,NA,NA,168,-13.647074655393977
0001,Strong,Scenario A,Large,Large,NA,NA,NA,169,1.631401588414484
0001,Strong,Scenario A,Large,Large,NA,NA,NA,171,-7.832558393025941
0001,Strong,Scenario A,Large,Large,NA,NA,NA,172,-29.254446055111035
0001,Strong,Scenario A,Large,Large,NA,NA,NA,173,-36.570554308167004
0001,Strong,Scenario A,Large,Large,NA,NA,NA,177,9.60580516169415
0001,Strong,Scenario A,Large,Large,NA,NA,NA,179,46.34695131719957
0001,Strong,Scenario A,Large,Large,NA,NA,NA,185,81.5972694160854
0001,Strong,Scenario A,Large,Large,NA,NA,NA,188,-54.29083289805253
0001,Strong,Scenario A,Large,Large,NA,NA,NA,192,23.765196791330293
0001,Strong,Scenario A,Large,Large,NA,NA,NA,193,-8.777113826585902
0001,Strong,Scenario A,Large,Large,NA,NA,NA,194,51.7545911904831
0001,Strong,Scenario A,Large,Large,NA,NA,NA,195,-32.96819494601724
0001,Strong,Scenario A,Large,Large,NA,NA,NA,200,-21.187577692915877
0001,Strong,Scenario A,Large,Large,NA,NA,NA,205,54.11368151971388
0001,Strong,Scenario A,Large,Large,NA,NA,NA,207,-3.0012966895928836
0001,Strong,Scenario A,Large,Large,NA,NA,NA,210,-46.84958690415601
0001,Strong,Scenario A,Large,Large,NA,NA,NA,211,59.947249017309424
0001,Strong,Scenario A,Large,Large,NA,NA,NA,213,14.469725604098306
0001,Strong,Scenario A,Large,Large,NA,NA,NA,215,-67.40779986233267
0001,Strong,Scenario A,Large,Large,NA,NA,NA,216,79.47104998713819
0001,Strong,Scenario A,Large,Large,NA,NA,NA,219,-5.294501044351053
0001,Strong,Scenario A,Large,Large,NA,NA,NA,220,-24.529808172623287
0001,Strong,Scenario A,Large,Large,NA,NA,NA,226,32.48724119601111
0001,Strong,Scenario A,Large,Large,NA,NA,NA,227,-23.857851329307074
0001,Strong,Scenario A,Large,Large,NA,NA,NA,228,-82.10085838442663
0001,Strong,Scenario A,Large,Large,NA,NA,NA,229,57.39005347814238
0001,Strong,Scenario A,Large,Large,NA,NA,NA,230,-45.82902603731187
0001,Strong,Scenario A,Large,Large,NA,NA,NA,231,-47.29578652222055
0001,Strong,Scenario A,Large,Large,NA,NA,NA,237,-9.711647559621463
0001,Strong,Scenario A,Large,Large,NA,NA,NA,238,27.540213411086025
0001,Strong,Scenario A,Large,Large,NA,NA,NA,239,-6.571203099163061
0001,Strong,Scenario A,Large,Large,NA,NA,NA,243,-18.830509830454638
0001,Strong,Scenario A,Large,Large,NA,NA,NA,246,-56.84261110821916
0001,Strong,Scenario A,Large,Large,NA,NA,NA,251,-55.208220080607425
0001,Strong,Scenario A,Large,Large,NA,NA,NA,252,37.692654786915085
0001,Strong,Scenario A,Large,Large,NA,NA,NA,254,-46.140736365750314
0001,Strong,Scenario A,Large,Large,NA,NA,NA,256,-49.37087124925754
0001,Strong,Scenario A,Large,Large,NA,NA,NA,259,51.83962718505491
0001,Strong,Scenario A,Large,Large,NA,NA,NA,260,79.06776548916008
0001,Strong,Scenario A,Large,Large,NA,NA,NA,264,30.374108362855637
0001,Strong,Scenario A,Large,Large,NA,NA,NA,265,-0.7621245689772944
0001,Strong,Scenario A,Large,Large,NA,NA,NA,267,-22.19434686756207
0001,Strong,Scenario A,Large,Large,NA,NA,NA,268,-10.17867686592725
0001,Strong,Scenario A,Large,Large,NA,NA,NA,269,116.4373569661184
0001,Strong,Scenario A,Large,Large,NA,NA,NA,270,-13.015050441048015
0001,Strong,Scenario A,Large,Large,NA,NA,NA,271,100.57852784644426
0001,Strong,Scenario A,Large,Large,NA,NA,NA,272,29.014057646947155
0001,Strong,Scenario A,Large,Large,NA,NA,NA,279,-7.5319785270892
0001,Strong,Scenario A,Large,Large,NA,NA,NA,280,-26.473998273198372
0001,Strong,Scenario A,Large,Large,NA,NA,NA,282,12.351285409196116
0001,Strong,Scenario A,Large,Large,NA,NA,NA,287,-4.971820957358319
0001,Strong,Scenario A,Large,Large,NA,NA,NA,290,23.69362749227658
0001,Strong,Scenario A,Large,Large,NA,NA,NA,292,26.865514398959427
0001,Strong,Scenario A,Large,Large,NA,NA,NA,298,0.7826876171927057
0001,Strong,Scenario A,Large,Large,NA,NA,NA,300,-46.2708671464963
0001,Strong,Scenario A,Large,Large,NA,NA,NA,301,41.26479169859723
0001,Strong,Scenario A,Large,Large,NA,NA,NA,302,-28.99042115532343
0001,Strong,Scenario A,Large,Large,NA,NA,NA,303,60.274644778303674
0001,Strong,Scenario A,Large,Large,NA,NA,NA,304,6.8417518350164235
0001,Strong,Scenario A,Large,Large,NA,NA,NA,306,-30.90370448723543
0001,Strong,Scenario A,Large,Large,NA,NA,NA,307,55.3351809277637
0001,Strong,Scenario A,Large,Large,NA,NA,NA,308,-36.6061167373816
0001,Strong,Scenario A,Large,Large,NA,NA,NA,309,-17.306323014916806
0001,Strong,Scenario A,Large,Large,NA,NA,NA,311,40.69432324333143
0001,Strong,Scenario A,Large,Large,NA,NA,NA,312,2.0742725965062667
0001,Strong,Scenario A,Large,Large,NA,NA,NA,313,-25.135824029668214
0001,Strong,Scenario A,Large,Large,NA,NA,NA,315,37.66378344902326
0001,Strong,Scenario A,Large,Large,NA,NA,NA,317,-57.15600596606879
0001,Strong,Scenario A,Large,Large,NA,NA,NA,318,24.156854855543745
0001,Strong,Scenario A,Large,Large,NA,NA,NA,321,-22.85111255140772
0001,Strong,Scenario A,Large,Large,NA,NA,NA,324,-57.967858729326835
0001,Strong,Scenario A,Large,Large,NA,NA,NA,326,34.246336398762026
0001,Strong,Scenario A,Large,Large,NA,NA,NA,333,-48.286213362975225
0001,Strong,Scenario A,Large,Large,NA,NA,NA,336,39.60485241719501
0001,Strong,Scenario A,Large,Large,NA,NA,NA,343,-16.72768814744082
0001,Strong,Scenario A,Large,Large,NA,NA,NA,356,-26.146607472563343
0001,Strong,Scenario A,Large,Large,NA,NA,NA,358,25.584397123018274
0001,Strong,Scenario A,Large,Large,NA,NA,NA,367,2.674346136591973
0001,Strong,Scenario A,Large,Large,NA,NA,NA,368,-41.67921641994769
0001,Strong,Scenario A,Large,Large,NA,NA,NA,371,108.55608820374272
0001,Strong,Scenario A,Large,Large,NA,NA,NA,373,-3.476098834687175
0001,Strong,Scenario A,Large,Large,NA,NA,NA,374,-28.880356037918673
0001,Strong,Scenario A,Large,Large,NA,NA,NA,383,-7.221574794778787
0001,Strong,Scenario A,Large,Large,NA,NA,NA,386,24.857843441388447
0001,Strong,Scenario A,Large,Large,NA,NA,NA,387,33.281357494627734
0001,Strong,Scenario A,Large,Large,NA,NA,NA,390,71.53406846009919
0001,Strong,Scenario A,Large,Large,NA,NA,NA,400,9.176403737941559
0001,Strong,Scenario A,Large,Large,NA,NA,NA,401,-27.975935101250265
0001,Strong,Scenario A,Large,Large,NA,NA,NA,403,-18.015984107477227
0001,Strong,Scenario A,Large,Large,NA,NA,NA,404,29.50379515131364
0001,Strong,Scenario A,Large,Large,NA,NA,NA,405,-82.95196910011582
0001,Strong,Scenario A,Large,Large,NA,NA,NA,406,51.10582580175514
0001,Strong,Scenario A,Large,Large,NA,NA,NA,410,24.490438730838438
0001,Strong,Scenario A,Large,Large,NA,NA,NA,415,33.6366777008213
0001,Strong,Scenario A,Large,Large,NA,NA,NA,417,-22.781384037349515
0001,Strong,Scenario A,Large,Large,NA,NA,NA,418,-7.690031845046299
0001,Strong,Scenario A,Large,Large,NA,NA,NA,420,48.096549328310154
0001,Strong,Scenario A,Large,Large,NA,NA,NA,421,1.5591600039170135
0001,Strong,Scenario A,Large,Large,NA,NA,NA,424,-0.29813412498809133
0001,Strong,Scenario A,Large,Large,NA,NA,NA,425,23.784448246469797
0001,Strong,Scenario A,Large,Large,NA,NA,NA,428,-34.03496561490213
0001,Strong,Scenario A,Large,Large,NA,NA,NA,429,9.326506652310487
0001,Strong,Scenario A,Large,Large,NA,NA,NA,431,-1.840750362733312
0001,Strong,Scenario A,Large,Large,NA,NA,NA,435,-61.980523007554346
0001,Strong,Scenario A,Large,Large,NA,NA,NA,436,7.6481190270895665
0001,Strong,Scenario A,Large,Large,NA,NA,NA,439,10.097348395187568
0001,Strong,Scenario A,Large,Large,NA,NA,NA,440,92.40160111662743
0001,Strong,Scenario A,Large,Large,NA,NA,NA,445,11.384953762783146
0001,Strong,Scenario A,Large,Large,NA,NA,NA,449,6.403261843080224
0001,Strong,Scenario A,Large,Large,NA,NA,NA,452,-38.18739768116681
0001,Strong,Scenario A,Large,Large,NA,NA,NA,459,-5.763808222282585
0001,Strong,Scenario A,Large,Large,NA,NA,NA,463,5.027273518330469
0001,Strong,Scenario A,Large,Large,NA,NA,NA,466,-108.14676799730405
0001,Strong,Scenario A,Large,Large,NA,NA,NA,470,-10.498189335683655
0001,Strong,Scenario A,Large,Large,NA,NA,NA,475,-11.305101889171583
0001,Strong,Scenario A,Large,Large,NA,NA,NA,477,30.92653116277255
0001,Strong,Scenario A,Large,Large,NA,NA,NA,480,-52.363508156232115
0001,Strong,Scenario A,Large,Large,NA,NA,NA,482,-10.679656520235453
0001,Strong,Scenario A,Large,Large,NA,NA,NA,483,-67.18412038710684
0001,Strong,Scenario A,Large,Large,NA,NA,NA,490,51.20282402476627
0001,Strong,Scenario A,Large,Large,NA,NA,NA,491,15.001755094951339
0001,Strong,Scenario A,Large,Large,NA,NA,NA,493,22.173357906055283
0001,Strong,Scenario A,Large,Large,NA,NA,NA,496,-43.14771425814841
0001,Strong,Scenario A,Large,Large,NA,NA,NA,499,0.9969981330272337
